,commodity_desc,state_alpha,statisticcat_desc,util_practice_desc,unit_desc,state_alpha,freq_desc,year,reference_period_desc,Value
28,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2013,FIRST OF JUN,300310000
29,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2013,FIRST OF SEP,79386000
30,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2013,FIRST OF DEC,1250700000
31,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2012,FIRST OF MAR,686532000
32,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2012,FIRST OF JUN,355197000
33,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2012,FIRST OF SEP,93881000
34,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2012,FIRST OF DEC,957356000
35,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2011,FIRST OF MAR,765814000
36,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2011,FIRST OF JUN,435074000
37,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2011,FIRST OF SEP,119167000
38,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2011,FIRST OF DEC,1165630000
39,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2010,FIRST OF MAR,906390000
40,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2010,FIRST OF JUN,520565000
41,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2010,FIRST OF SEP,211233000
42,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2010,FIRST OF DEC,1196320000
43,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2009,FIRST OF MAR,808288000
44,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2009,FIRST OF JUN,486033000
45,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2009,FIRST OF SEP,196454000
46,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2009,FIRST OF DEC,1340288000
47,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2008,FIRST OF MAR,766772000
48,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2008,FIRST OF JUN,395182000
49,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2008,FIRST OF SEP,166514000
50,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2008,FIRST OF DEC,1186700000
51,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2007,FIRST OF MAR,641568000
52,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2007,FIRST OF JUN,368516000
53,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2007,FIRST OF SEP,154515000
54,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2007,FIRST OF DEC,1195152000
55,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2006,FIRST OF MAR,806280000
56,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2006,FIRST OF JUN,500781000
57,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2006,FIRST OF SEP,239213000
58,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2006,FIRST OF DEC,1004988000
59,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2005,FIRST OF MAR,821122000
60,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2005,FIRST OF JUN,511217000
61,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2005,FIRST OF SEP,280286000
62,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2005,FIRST OF DEC,1183541000
63,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2004,FIRST OF MAR,648219000
64,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2004,FIRST OF JUN,341955000
65,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2004,FIRST OF SEP,114601000
66,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2004,FIRST OF DEC,1121124000
67,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2003,FIRST OF MAR,595547000
68,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2003,FIRST OF JUN,357495000
69,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2003,FIRST OF SEP,154220000
70,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2003,FIRST OF DEC,967438000
71,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2002,FIRST OF MAR,707176000
72,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2002,FIRST OF JUN,421470000
73,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2002,FIRST OF SEP,231258000
74,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2002,FIRST OF DEC,855944000
75,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2001,FIRST OF MAR,686714000
76,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2001,FIRST OF JUN,444500000
77,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2001,FIRST OF SEP,256266000
78,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2001,FIRST OF DEC,1040485000
79,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2000,FIRST OF MAR,689660000
80,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2000,FIRST OF JUN,437336000
81,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2000,FIRST OF SEP,230059000
82,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2000,FIRST OF DEC,966809000
83,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1999,FIRST OF MAR,781378000
84,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1999,FIRST OF JUN,499515000
85,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1999,FIRST OF SEP,279889000
86,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1999,FIRST OF DEC,1029705000
87,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1998,FIRST OF MAR,642251000
88,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1998,FIRST OF JUN,372444000
89,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1998,FIRST OF SEP,172377000
90,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1998,FIRST OF DEC,1074970000
91,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1997,FIRST OF MAR,631517000
92,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1997,FIRST OF JUN,349020000
93,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1997,FIRST OF SEP,141910000
94,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1997,FIRST OF DEC,988135000
95,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1996,FIRST OF MAR,449795000
96,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1996,FIRST OF JUN,185900000
97,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1996,FIRST OF SEP,42056000
98,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1996,FIRST OF DEC,1005352000
99,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1995,FIRST OF MAR,692643000
100,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1995,FIRST OF JUN,383036000
101,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1995,FIRST OF SEP,181199000
102,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1995,FIRST OF DEC,736233000
103,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1994,FIRST OF MAR,495311000
104,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1994,FIRST OF JUN,286136000
105,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1994,FIRST OF SEP,121191000
106,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1994,FIRST OF DEC,989788000
107,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1993,FIRST OF MAR,716008000
108,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1993,FIRST OF JUN,462844000
109,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1993,FIRST OF SEP,281775000
110,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1993,FIRST OF DEC,744247000
111,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1992,FIRST OF MAR,596085000
112,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1992,FIRST OF JUN,359374000
113,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1992,FIRST OF SEP,167848000
114,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1992,FIRST OF DEC,951575000
115,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1991,FIRST OF MAR,599284000
116,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1991,FIRST OF JUN,405402000
117,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1991,FIRST OF SEP,221418000
118,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1991,FIRST OF DEC,880259000
119,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1990,FIRST OF MAR,664112000
120,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1990,FIRST OF JUN,395031000
121,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1990,FIRST OF SEP,206750000
122,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1990,FIRST OF DEC,834865000
123,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1989,FIRST OF MAR,848793000
124,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1989,FIRST OF JUN,629819000
125,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1989,FIRST OF SEP,365692000
126,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1989,FIRST OF DEC,923768000
127,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1988,FIRST OF MAR,1045716000
128,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1988,FIRST OF JUN,839139000
129,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1988,FIRST OF SEP,623529000
130,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1988,FIRST OF DEC,1109631000
131,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1987,FIRST OF MAR,1082360000
132,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1987,FIRST OF JUN,893809000
133,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1987,FIRST OF SEP,730619000
134,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1987,FIRST OF DEC,1289543000
135,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1986,FIRST OF MAR,770776000
136,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1986,FIRST OF JUN,694248000
137,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1986,FIRST OF SEP,627324000
138,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1986,FIRST OF DEC,1321382000
139,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1985,FIRST OF MAR,544737000
140,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1985,FIRST OF JUN,456140000
141,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1985,FIRST OF SEP,288359000
142,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1985,FIRST OF DEC,987615000
143,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1984,FIRST OF MAR,499301000
144,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1984,FIRST OF JUN,348862000
145,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1984,FIRST OF SEP,164590000
146,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1984,FIRST OF DEC,737879000
147,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1983,FIRST OF MAR,790432000
148,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1983,FIRST OF JUN,735814000
149,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1983,FIRST OF SEP,580127000
150,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1983,FIRST OF DEC,727789000
151,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1982,FIRST OF MAR,549559000
152,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1982,FIRST OF JUN,479692000
153,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1982,FIRST OF SEP,384104000
154,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1982,FIRST OF DEC,1017761000
155,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1981,FIRST OF MAR,400795000
156,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1981,FIRST OF JUN,272553000
157,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1981,FIRST OF SEP,141154000
158,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1981,FIRST OF DEC,744127000
159,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1980,FIRST OF MAR,623049000
160,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1980,FIRST OF JUN,507856000
161,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1980,FIRST OF SEP,336704000
162,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1980,FIRST OF DEC,603533000
163,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1979,FIRST OF MAR,541247000
164,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1979,FIRST OF JUN,432034000
165,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1979,FIRST OF SEP,261930000
166,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1979,FIRST OF DEC,828998000
167,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1978,FIRST OF MAR,428242000
168,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1978,FIRST OF JUN,329133000
169,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1978,FIRST OF SEP,198935000
170,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1978,FIRST OF DEC,743284000
171,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1977,FIRST OF MAR,272086000
172,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1977,FIRST OF JUN,189890000
173,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1977,FIRST OF SEP,78736000
174,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1977,FIRST OF DEC,593888000
175,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1976,FIRST OF MAR,252828000
176,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1976,FIRST OF JUN,166583000
177,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1976,FIRST OF SEP,30346000
178,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1976,FIRST OF DEC,432969000
179,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1975,FIRST OF MAR,187650000
180,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1975,FIRST OF JUN,106333000
181,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1975,FIRST OF SEP,30764000
182,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1975,FIRST OF DEC,407015000
183,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1974,FIRST OF MAR,306648000
184,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1974,FIRST OF JUN,146716000
185,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1974,FIRST OF SEP,44726000
186,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1974,FIRST OF DEC,309353000
187,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1973,FIRST OF MAR,437362000
188,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1973,FIRST OF JUN,271651000
189,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1973,FIRST OF SEP,87273000
190,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1973,FIRST OF DEC,471709000
191,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1972,FIRST OF MAR,377337000
192,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1972,FIRST OF JUN,267428000
193,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1972,FIRST OF SEP,147472000
194,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1972,FIRST OF DEC,537233000
195,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1971,FIRST OF MAR,355447000
196,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1971,FIRST OF JUN,260070000
197,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1971,FIRST OF SEP,127054000
198,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1971,FIRST OF DEC,468948000
199,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1970,FIRST OF MAR,405131000
200,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1970,FIRST OF JUN,303595000
201,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1970,FIRST OF SEP,198188000
202,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1970,FIRST OF DEC,465251000
203,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1969,FIRST OF MAR,351791000
204,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1969,FIRST OF JUN,283572000
205,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1969,FIRST OF SEP,197363000
206,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1969,FIRST OF DEC,549878000
207,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1968,FIRST OF MAR,325385000
208,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1968,FIRST OF JUN,243929000
209,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1968,FIRST OF SEP,187674000
210,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1968,FIRST OF DEC,446706000
211,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1967,FIRST OF MAR,304689000
212,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1967,FIRST OF JUN,213949000
213,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1967,FIRST OF SEP,168337000
214,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1967,FIRST OF DEC,408883000
215,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1966,FIRST OF MAR,324705000
216,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1966,FIRST OF JUN,212214000
217,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1966,FIRST OF SEP,137302000
218,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1966,FIRST OF DEC,385836000
219,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1965,FIRST OF MAR,337786000
220,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1965,FIRST OF JUN,256766000
221,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1965,FIRST OF SEP,222816000
222,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1965,FIRST OF DEC,416287000
223,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1964,FIRST OF MAR,407157000
224,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1964,FIRST OF JUN,340697000
225,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1964,FIRST OF SEP,273581000
226,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1964,FIRST OF DEC,423882000
227,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1963,FIRST OF MAR,382326000
228,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1963,FIRST OF JUN,310187000
229,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1963,FIRST OF SEP,271550000
230,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1963,FIRST OF DEC,503947000
231,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1962,FIRST OF MAR,387290000
232,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1962,FIRST OF JUN,329891000
233,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1962,FIRST OF SEP,295134000
234,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1962,FIRST OF DEC,505125000
235,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1961,FIRST OF MAR,441639000
236,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1961,FIRST OF JUN,366301000
237,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1961,FIRST OF SEP,314438000
238,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1961,FIRST OF DEC,495892000
239,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1960,FIRST OF MAR,366945000
240,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1960,FIRST OF JUN,320227000
241,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1960,FIRST OF SEP,236433000
242,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1960,FIRST OF DEC,534328000
243,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1959,FIRST OF MAR,312676000
244,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1959,FIRST OF JUN,244551000
245,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1959,FIRST OF SEP,186414000
246,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1959,FIRST OF DEC,447358000
247,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1958,FIRST OF MAR,268463000
248,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1958,FIRST OF JUN,223248000
249,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1958,FIRST OF SEP,164653000
250,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1958,FIRST OF DEC,376132000
251,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1957,FIRST OF MAR,158825000
252,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1957,FIRST OF JUN,143672000
253,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1957,FIRST OF SEP,132490000
254,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1957,FIRST OF DEC,324566000
255,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1956,FIRST OF MAR,147158000
256,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1956,FIRST OF JUN,128308000
257,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1956,FIRST OF SEP,109603000
258,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1956,FIRST OF DEC,183094000
259,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1955,FIRST OF MAR,183813000
260,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,1955,FIRST OF JUN,146772000
